# no  word                  pos           zh                                                                                                                            example                                                    added       right  wrong  last_test   tags            sense
167   finger                n.            手指                                                                                                                          I cut my finger.                                           2026-09-10  1      1      2026-09-16  身體部位        多義
168   beef                  n.            牛肉                                                                                                                          I like beef noodles.                                       2026-09-10  1      0      2026-09-10  食物            多義
169   pork                  n.            豬肉                                                                                                                          We eat pork today.                                         2026-09-10  1      0      2026-09-10  食物            單義
170   chicken               n.            雞、雞肉                                                                                                                      The chicken is hot.                                        2026-09-10  1      1      2026-09-17  食物、動物      多義
171   soup                  n.            湯                                                                                                                            The soup is very hot.                                      2026-09-10  1      0      2026-09-10  食物            單義
172   noodles               n.            麵                                                                                                                            I eat noodles for lunch.                                   2026-09-10  1      1      2026-09-16  食物            單義
173   juice                 n.            果汁                                                                                                                          I want apple juice.                                        2026-09-10  5      0      2026-09-17  食物            多義
174   sugar                 n.            糖                                                                                                                            Put sugar in my tea.                                       2026-09-10  1      1      2026-09-16  食物            多義
175   salt                  n.            鹽                                                                                                                            Add a little salt.                                         2026-09-10  1      1      2026-09-17  食物            多義
176   plate                 n.            盤子                                                                                                                          The plate is on the table.                                 2026-09-10  7      2      2026-09-15  -               多義
177   knife                 n.            刀子                                                                                                                          Cut it with a knife.                                       2026-09-10  1      1      2026-09-14  -               單義
178   face                  n.            臉                                                                                                                            Wash your face.                                            2026-09-10  1      0      2026-09-10  身體部位        極多義
179   hair                  n.            頭髮                                                                                                                          Her hair is long.                                          2026-09-10  1      0      2026-09-10  身體部位        單義
180   mouth                 n.            嘴巴                                                                                                                          Open your mouth.                                           2026-09-10  1      0      2026-09-10  身體部位        多義
181   nose                  n.            鼻子                                                                                                                          My nose is cold.                                           2026-09-10  1      0      2026-09-10  身體部位        多義
182   ear                   n.            耳朵                                                                                                                          I have two ears.                                           2026-09-10  1      0      2026-09-10  身體部位        多義
183   tooth                 n.            牙齒                                                                                                                          My tooth hurts.                                            2026-09-10  1      0      2026-09-10  身體部位        多義
184   arm                   n.            手臂                                                                                                                          He has strong arms.                                        2026-09-10  1      1      2026-09-16  身體部位        多義
185   leg                   n.            腿                                                                                                                            The dog has four legs.                                     2026-09-10  1      0      2026-09-10  身體部位        多義
186   eye                   n.            眼睛                                                                                                                          Close your eyes.                                           2026-09-10  1      0      2026-09-10  身體部位        多義
187   head                  n.            頭                                                                                                                            My head hurts.                                             2026-09-10  1      0      2026-09-10  身體部位        極多義
188   rock                  n.            石頭                                                                                                                          The rock is heavy.                                         2026-09-10  1      0      2026-09-10  -               多義
189   lock                  n./v.         鎖                                                                                                                            Lock the door.                                             2026-09-10  1      0      2026-09-10  -               單義
190   chalk                 n.            粉筆                                                                                                                          Write it with chalk.                                       2026-09-10  5      2      2026-09-16  文具            多義
191   shark                 n.            鯊魚                                                                                                                          The shark is in the sea.                                   2026-09-10  1      1      2026-09-16  動物            多義
192   sheep                 n.            綿羊                                                                                                                          The sheep eats grass.                                      2026-09-10  1      0      2026-09-10  動物            多義
193   sheet                 n.            床單、一張（紙）                                                                                                              Give me a sheet of paper.                                  2026-09-10  1      1      2026-09-16  基礎字          多義
194   wolf                  n.            狼                                                                                                                            The wolf is not a dog.                                     2026-09-10  1      0      2026-09-10  動物            多義
195   wing                  n.            翅膀                                                                                                                          Birds have two wings.                                      2026-09-10  1      1      2026-09-16  -               多義
196   tail                  n.            尾巴                                                                                                                          The cat has a long tail.                                   2026-09-10  36     6      2026-09-17  動物            多義
197   lamp                  n.            檯燈                                                                                                                          Turn on the lamp.                                          2026-09-10  1      1      2026-09-16  居家            單義
198   lamb                  n.            小羊                                                                                                                          The lamb is white.                                         2026-09-10  4      3      2026-09-17  食物、動物      單義
199   cave                  n.            洞穴                                                                                                                          A bear lives in the cave.                                  2026-09-10  4      3      2026-09-17  基礎字          多義
200   wave                  n./v.         波浪、揮手                                                                                                                    Wave your hand.                                            2026-09-10  1      1      2026-09-17  基礎字          極多義
201   nail                  n.            指甲、釘子                                                                                                                    Cut your nails.                                            2026-09-10  1      1      2026-09-16  身體部位        多義
202   mail                  n.            郵件                                                                                                                          I get a mail today.                                        2026-09-10  1      0      2026-09-10  -               單義
203   coin                  n.            硬幣                                                                                                                          I have five coins.                                         2026-09-10  1      0      2026-09-10  -               多義
204   corn                  n.            玉米                                                                                                                          I like sweet corn.                                         2026-09-10  1      1      2026-09-17  食物            多義
205   pin                   n.            別針、大頭針                                                                                                                  Use a pin to fix it.                                       2026-09-10  1      1      2026-09-16  工具            多義
206   pan                   n.            平底鍋                                                                                                                        Cook the egg in a pan.                                     2026-09-10  3      3      2026-09-17  居家            多義
207   bank                  n.            銀行                                                                                                                          I go to the bank.                                          2026-09-10  1      0      2026-09-10  -               極多義
208   hotel                 n.            旅館                                                                                                                          We stay in a hotel.                                        2026-09-10  1      1      2026-09-16  -               單義
209   police                n.            警察                                                                                                                          Call the police!                                           2026-09-10  1      0      2026-09-10  -               單義
210   nurse                 n.            護士                                                                                                                          The nurse is kind.                                         2026-09-10  1      1      2026-09-15  -               多義
211   farmer                n.            農夫                                                                                                                          The farmer has a farm.                                     2026-09-10  1      0      2026-09-10  -               單義
212   driver                n.            司機；驅動（程式），如印表機驅動程式                                                                                          He is a bus driver.                                        2026-09-10  6      4      2026-09-17  職業、工程師    多義
213   singer                n.            歌手                                                                                                                          She is a good singer.                                      2026-09-10  1      0      2026-09-10  -               單義
214   actor                 n.            演員                                                                                                                          The actor is famous.                                       2026-09-10  1      0      2026-09-10  -               單義
215   uncle                 n.            叔叔、舅舅                                                                                                                    My uncle is a doctor.                                      2026-09-10  1      0      2026-09-10  家人            單義
216   cousin                n.            表兄弟姊妹                                                                                                                    My cousin is ten.                                          2026-09-10  19     6      2026-09-17  家人、居家      單義
217   blue                  adj./n.       藍色的、藍色                                                                                                                  The sky is blue.                                           2026-09-10  1      1      2026-09-17  顏色            多義
218   black                 adj./n.       黑色的、黑色                                                                                                                  I have a black cat.                                        2026-09-10  1      0      2026-09-10  顏色            多義
219   white                 adj./n.       白色的、白色                                                                                                                  Snow is white.                                             2026-09-10  1      0      2026-09-10  顏色            多義
220   yellow                adj./n.       黃色的、黃色                                                                                                                  The banana is yellow.                                      2026-09-10  1      0      2026-09-10  顏色            多義
221   pink                  adj./n.       粉紅色的                                                                                                                      She likes pink.                                            2026-09-10  1      0      2026-09-10  顏色            單義
222   purple                adj./n.       紫色的                                                                                                                        The flower is purple.                                      2026-09-10  1      1      2026-09-16  顏色            單義
223   orange                n./adj.       橘子、橘色的                                                                                                                  I eat an orange.                                           2026-09-10  1      0      2026-09-10  顏色、食物      多義
224   gray                  adj./n.       灰色的                                                                                                                        The sky is gray today.                                     2026-09-10  1      1      2026-09-16  顏色            多義
225   gold                  n./adj.       金、金色的                                                                                                                    This ring is gold.                                         2026-09-10  1      0      2026-09-10  顏色            單義
226   silver                n./adj.       銀、銀色的                                                                                                                    I want a silver pen.                                       2026-09-10  1      0      2026-09-10  顏色            多義
227   tiger                 n.            老虎                                                                                                                          The tiger is big.                                          2026-09-10  1      0      2026-09-10  動物            單義
228   Monday                n.            星期一                                                                                                                        I go to school on Monday.                                  2026-09-10  1      0      2026-09-10  星期、時間      單義
229   cheap                 adj.          便宜的                                                                                                                        This bag is cheap.                                         2026-09-10  1      1      2026-09-16  -               多義
230   bedroom               n.            臥室                                                                                                                          My bedroom is small.                                       2026-09-10  1      0      2026-09-10  -               單義
231   horse                 n.            馬                                                                                                                            The horse runs fast.                                       2026-09-10  1      0      2026-09-10  動物            多義
232   April                 n.            四月                                                                                                                          My birthday is in April.                                   2026-09-10  1      1      2026-09-17  時間            單義
233   quick                 adj.          快的                                                                                                                          He is a quick runner.                                      2026-09-10  1      0      2026-09-10  -               單義
234   dolphin               n.            海豚                                                                                                                          The dolphin can jump.                                      2026-09-10  1      1      2026-09-15  -               單義
235   Sunday                n.            星期日                                                                                                                        I stay home on Sunday.                                     2026-09-10  1      1      2026-09-15  星期、時間      單義
236   sofa                  n.            沙發                                                                                                                          Sit on the sofa.                                           2026-09-10  1      0      2026-09-10  -               單義
237   August                n.            八月                                                                                                                          It is hot in August.                                       2026-09-10  1      1      2026-09-15  -               單義
238   rabbit                n.            兔子                                                                                                                          The rabbit eats carrots.                                   2026-09-10  1      0      2026-09-10  動物            單義
239   slow                  adj.          慢的                                                                                                                          The bus is slow today.                                     2026-09-10  1      0      2026-09-10  -               單義
240   pot                   n.            鍋子                                                                                                                          Cook the soup in a pot.                                    2026-09-10  1      1      2026-09-15  -               多義
241   Friday                n.            星期五                                                                                                                        We have a test on Friday.                                  2026-09-10  1      0      2026-09-10  星期、時間      單義
242   monkey                n.            猴子                                                                                                                          The monkey is funny.                                       2026-09-10  1      0      2026-09-10  動物            多義
243   elephant              n.            大象                                                                                                                          The elephant is very big.                                  2026-09-10  1      0      2026-09-10  動物            單義
244   snake                 n.            蛇                                                                                                                            I am afraid of snakes.                                     2026-09-10  1      0      2026-09-10  動物            多義
245   March                 n.            三月                                                                                                                          School starts in March.                                    2026-09-10  7      2      2026-09-16  -               多義
246   evening               n.            傍晚、晚上                                                                                                                    Good evening!                                              2026-09-10  1      1      2026-09-16  天氣            單義
247   mirror                n.            鏡子                                                                                                                          Look in the mirror.                                        2026-09-10  1      1      2026-09-11  -               多義
248   butter                n.            奶油                                                                                                                          I put butter on bread.                                     2026-09-10  1      1      2026-09-15  食物            多義
249   cheese                n.            起司                                                                                                                          I like cheese cake.                                        2026-09-10  1      1      2026-09-17  食物            多義
250   dirty                 adj.          髒的                                                                                                                          Your hands are dirty.                                      2026-09-10  1      0      2026-09-10  -               多義
251   swim                  v.            游泳                                                                                                                          I swim in summer.                                          2026-09-10  1      1      2026-09-11  -               單義
252   climb                 v.            爬                                                                                                                            The cat climbs the tree.                                   2026-09-10  1      1      2026-09-15  -               單義
253   pig                   n.            豬                                                                                                                            The pig is fat.                                            2026-09-10  4      0      2026-09-17  動物            多義
254   cow                   n.            牛                                                                                                                            The cow gives us milk.                                     2026-09-10  4      0      2026-09-17  動物            多義
255   tomorrow              n./adv.       明天                                                                                                                          See you tomorrow.                                          2026-09-10  1      0      2026-09-10  -               單義
256   noon                  n.            中午                                                                                                                          I eat lunch at noon.                                       2026-09-10  1      1      2026-09-15  -               單義
257   roof                  n.            屋頂                                                                                                                          A cat is on the roof.                                      2026-09-10  1      1      2026-09-15  -               多義
258   wall                  n.            牆                                                                                                                            The clock is on the wall.                                  2026-09-10  1      1      2026-09-17  -               多義
259   candy                 n.            糖果                                                                                                                          Kids like candy.                                           2026-09-10  1      0      2026-09-10  食物            單義
260   sing                  v.            唱歌                                                                                                                          I sing a song.                                             2026-09-10  1      1      2026-09-16  基礎字          單義
261   tall                  adj.          高的                                                                                                                          He is very tall.                                           2026-09-10  1      0      2026-09-10  -               單義
262   short                 adj.          短的、矮的                                                                                                                    Her hair is short.                                         2026-09-10  1      0      2026-09-10  -               多義
263   bear                  n.            熊                                                                                                                            The bear is sleeping.                                      2026-09-10  1      0      2026-09-10  動物            極多義
264   lion                  n.            獅子                                                                                                                          The lion is the king.                                      2026-09-10  1      0      2026-09-10  動物            單義
265   hour                  n.            小時                                                                                                                          I wait for an hour.                                        2026-09-10  1      0      2026-09-10  -               單義
266   desk                  n.            書桌                                                                                                                          My book is on the desk.                                    2026-09-10  4      0      2026-09-17  工程師、職場    單義
267   cookie                n.            餅乾                                                                                                                          I eat two cookies.                                         2026-09-10  1      0      2026-09-10  食物            多義
268   cry                   v.            哭                                                                                                                            The baby is crying.                                        2026-09-10  1      0      2026-09-10  -               單義
269   laugh                 v.            笑                                                                                                                            We laugh together.                                         2026-09-10  1      1      2026-09-17  基礎字          單義
270   young                 adj.          年輕的                                                                                                                        She is very young.                                         2026-09-10  1      0      2026-09-10  -               單義
271   salad                 n.            沙拉                                                                                                                          I eat salad for lunch.                                     2026-09-10  1      1      2026-09-16  食物            單義
272   shelf                 n.            架子                                                                                                                          Books are on the shelf.                                    2026-09-10  1      1      2026-09-17  居家            單義
273   boy                   n.            男孩                                                                                                                          The boy is my brother.                                     2026-09-10  1      0      2026-09-10  -               單義
274   goat                  n.            山羊                                                                                                                          The goat eats grass.                                       2026-09-10  1      0      2026-09-10  動物            多義
275   month                 n.            月、月份                                                                                                                      I will go next month.                                      2026-09-10  1      0      2026-09-10  -               單義
276   curtain               n.            窗簾                                                                                                                          Open the curtain.                                          2026-09-10  1      1      2026-09-16  -               多義
277   onion                 n.            洋蔥                                                                                                                          I don't like onions.                                       2026-09-10  1      1      2026-09-15  食物            單義
278   throw                 v.            丟、投                                                                                                                        Throw the ball to me.                                      2026-09-10  1      1      2026-09-15  -               極多義
279   catch                 v.            接住、抓住                                                                                                                    Catch the ball!                                            2026-09-10  1      1      2026-09-17  工程師          極多義
280   old                   adj.          老的、舊的                                                                                                                    My car is old.                                             2026-09-10  1      0      2026-09-10  -               單義
281   wet                   adj.          濕的                                                                                                                          My shoes are wet.                                          2026-09-10  1      1      2026-09-15  -               單義
282   clever                adj.          聰明的                                                                                                                        She is a clever girl.                                      2026-09-10  1      1      2026-09-15  -               單義
283   frog                  n.            青蛙                                                                                                                          The frog is green.                                         2026-09-10  1      0      2026-09-10  動物            多義
284   ant                   n.            螞蟻                                                                                                                          Ants are very small.                                       2026-09-10  1      0      2026-09-10  動物            單義
285   year                  n.            年                                                                                                                            I am ten years old.                                        2026-09-10  1      0      2026-09-10  -               單義
286   key                   n.            鑰匙；鍵（資料庫或程式裡的鍵值，如主鍵）                                                                                      Where is my key?                                           2026-09-10  1      0      2026-09-10  工程師          極多義
287   box                   n.            箱子、盒子                                                                                                                    Put it in the box.                                         2026-09-10  1      0      2026-09-10  -               多義
288   cup                   n.            杯子                                                                                                                          I want a cup of tea.                                       2026-09-10  5      0      2026-09-17  居家            多義
289   sit                   v.            坐                                                                                                                            Sit on the chair.                                          2026-09-10  1      1      2026-09-17  基礎字          多義
290   stand                 v.            站                                                                                                                            Please stand up.                                           2026-09-10  7      2      2026-09-16  -               極多義
291   loud                  adj.          大聲的                                                                                                                        The music is too loud.                                     2026-09-10  1      1      2026-09-16  -               單義
292   thin                  adj.          瘦的、薄的                                                                                                                    The book is thin.                                          2026-09-10  7      2      2026-09-16  -               多義
295   close                 v./adj.       關、關閉                                                                                                                      Close the window, please.                                  2026-09-10  5      0      2026-09-17  -               多義
296   July                  n.            七月                                                                                                                          It is hot in July.                                         2026-09-11  1      1      2026-09-17  時間、月份      單義
297   plant                 n./v.         植物、種植                                                                                                                    I water the plant.                                         2026-09-11  0      1      2026-09-11  -               多義
298   bowl                  n.            碗                                                                                                                            I eat rice from a bowl.                                    2026-09-11  0      1      2026-09-11  -               多義
299   carrot                n.            紅蘿蔔                                                                                                                        Rabbits like carrots.                                      2026-09-11  0      1      2026-09-11  食物            多義
300   spider                n.            蜘蛛                                                                                                                          The spider has eight legs.                                 2026-09-11  1      0      2026-09-11  動物            單義
301   warm                  adj.          溫暖的                                                                                                                        The water is warm.                                         2026-09-11  0      1      2026-09-11  天氣            多義
302   wash                  v.            洗                                                                                                                            Wash your hands.                                           2026-09-11  1      1      2026-09-17  居家            單義
303   wind                  n.            風                                                                                                                            The wind is strong.                                        2026-09-11  0      1      2026-09-11  天氣            多義
304   potato                n.            馬鈴薯                                                                                                                        I like potato soup.                                        2026-09-11  1      0      2026-09-11  食物            單義
305   sky                   n.            天空                                                                                                                          The sky is blue today.                                     2026-09-11  1      0      2026-09-11  -               多義
306   fork                  n.            叉子                                                                                                                          Eat it with a fork.                                        2026-09-11  4      0      2026-09-17  餐廳、工程師    多義
307   jam                   n.            果醬                                                                                                                          I like strawberry jam.                                     2026-09-11  0      1      2026-09-11  食物            極多義
308   thirsty               adj.          口渴的                                                                                                                        I am thirsty now.                                          2026-09-11  0      1      2026-09-11  -               單義
309   sad                   adj.          難過的                                                                                                                        Why are you sad?                                           2026-09-11  1      0      2026-09-11  -               單義
310   afraid                adj.          害怕的                                                                                                                        I am afraid of dogs.                                       2026-09-11  0      1      2026-09-11  -               單義
311   butterfly             n.            蝴蝶                                                                                                                          The butterfly is pretty.                                   2026-09-11  1      0      2026-09-11  動物            多義
312   pillow                n.            枕頭                                                                                                                          My pillow is soft.                                         2026-09-11  0      1      2026-09-11  -               單義
313   blanket               n.            毯子                                                                                                                          Put a blanket on the bed.                                  2026-09-11  19     9      2026-09-17  居家            多義
314   garage                n.            車庫                                                                                                                          The car is in the garage.                                  2026-09-11  0      1      2026-09-11  -               單義
315   ship                  n.            船                                                                                                                            The ship is very big.                                      2026-09-11  1      3      2026-09-17  基礎字          多義
316   plane                 n.            飛機                                                                                                                          I go by plane.                                             2026-09-11  4      4      2026-09-17  生活            多義
317   ice                   n.            冰                                                                                                                            I want ice in my water.                                    2026-09-11  1      0      2026-09-11  -               多義
318   sun                   n.            太陽                                                                                                                          The sun is hot.                                            2026-09-11  16     0      2026-09-17  天氣            多義
319   dream                 n./v.         夢、夢想                                                                                                                      I had a good dream.                                        2026-09-11  0      1      2026-09-11  -               單義
320   hope                  v./n.         希望                                                                                                                          I hope you are well.                                       2026-09-11  1      0      2026-09-11  -               單義
321   soap                  n.            肥皂                                                                                                                          Wash with soap.                                            2026-09-11  15     3      2026-09-17  居家            多義
322   comb                  n./v.         梳子、梳                                                                                                                      Comb your hair.                                            2026-09-11  22     4      2026-09-17  工具            單義
